slug,family,common_name,title,image_path,image_exists,page_path
acanthaceae,Acanthaceae,Acanthus Family / Bear's Breeches Family,Acanthaceae (Acanthus Family),../img/here/acanthaceae.png,yes,families/acanthaceae.html
achariaceae,Achariaceae,Chaulmoogra Family,Achariaceae (Chaulmoogra Family),../img/here/achariaceae.png,yes,families/achariaceae.html
achatocarpaceae,Acanthaceae,Acanthus Family / Bear's Breeches Family,Acanthaceae (Acanthus Family),../img/here/achatocarpaceae.png,yes,families/achatocarpaceae.html
acoraceae,Acoraceae,Sweet Flag Family,Acoraceae (Sweet Flag Family),../img/here/acoraceae.png,yes,families/acoraceae.html
acrobolbaceae,Acrobolbaceae,Acrobolbus Family,Acrobolbaceae (Acrobolbus Family),../img/here/acrobolbaceae.png,yes,families/acrobolbaceae.html
actinidiaceae,Actinidiaceae,Kiwi Family,Actinidiaceae (Kiwi Family),../img/here/actinidiaceae.png,yes,families/actinidiaceae.html
adelanthaceae,Adelanthaceae,Adelanthus Family,Adelanthaceae (Adelanthus Family),../img/here/adelanthaceae.png,yes,families/adelanthaceae.html
adelotheciaceae,Adelotheciaceae,(No widely used common name),Adelotheciaceae (Liverwort Family),../img/here/adelotheciaceae.png,yes,families/adelotheciaceae.html
adoxaceae,Adoxaceae,Moschatel Family / Elderberry Family,Adoxaceae (Moschatel Family),../img/here/adoxaceae.png,yes,families/adoxaceae.html
aextoxicaceae,Aextoxicaceae,Aextoxicaceae Family,Aextoxicaceae,../img/here/aextoxicaceae.png,yes,families/aextoxicaceae.html
agdestidaceae,Agdestidaceae,Rockroot Family,Agdestidaceae (Rockroot Family),../img/here/agdestidaceae.png,yes,families/agdestidaceae.html
aizoaceae,Aizoaceae,Ice Plant / Fig-Marigold Family,Aizoaceae (Ice Plant Family),../img/here/aizoaceae.png,yes,families/aizoaceae.html
akaniaceae,Akaniaceae,Turnipwood Family,Akaniaceae (Turnipwood Family),../img/here/akaniaceae.png,yes,families/akaniaceae.html
alismataceae,Alismataceae,Water Plantain Family,Alismataceae (Water Plantain Family),../img/here/alismataceae.png,yes,families/alismataceae.html
allioideae,Subfamily Allioideae,,Subfamily Allioideae (Onion Subfamily),,missing,families/allioideae.html
allisoniaceae,Allisoniaceae,No widely accepted common name,Allisoniaceae,../img/here/allisoniaceae.png,yes,families/allisoniaceae.html
